MFA	NIO	vs	ODEN	YUS	21	14
AMIR	AYIE	vs	ASAP	TUAH	21	17
AMIR	AYIE	vs	ASAP	TUAH	21	19
RUL	ZAT	vs	JOE	ODEN	21	17
AYIE	AZWA	vs	KAY	NIO	21	9
MFA	SMD	vs	ASAP	PAD	21	19
AMIR	NAQI	vs	FIZ	YUS	21	18
JOE	ODEN	vs	AZWA	FUAD	21	19
KAY	SMD	vs	AMIR	NIO	21	14
NAQI	RA	vs	PAD	TUAH	21	19
AMIR	SMD	vs	KAY	NIO	21	17
ASAP	MFA	vs	PAD	TUAH	24	22
AZWA	NAQI	vs	FIZ	RUL	21	19
KAY	SMD	vs	NIO	RA	21	10
FIZ	RUL	vs	JOE	NAQI	21	19
AMIR	PAD	vs	NIO	YUS	21	17
AMIR	AYIE	vs	KAY	SMD	21	16
ASAP	YUS	vs	NIO	RA	26	24
NAQI	ZAT	vs	AYIE	AZWA	21	16
AMIR	ODEN	vs	MFA	TUAH	21	18
KAY	RA	vs	AMIR	SMD	21	16
NAQI	WAR	vs	AZWA	JOE	21	17
FIZ	RUL	vs	NIO	YUS	24	22
FIZ	RUL	vs	NIO	YUS	21	19
AMIR	KAY	vs	ASAP	MFA	21	19
ASAP	MFA	vs	AMIR	KAY	21	16
AZWA	ODEN	vs	MFA	NAQI	21	16
MFA	NAQI	vs	AZWA	ODEN	21	17
AMIR	YUS	vs	FIZ	RUL	24	22
AMIR	YUS	vs	FIZ	RUL	21	17
AYIE	ODEN	vs	FUAD	ZAT	29	27
